elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00427317,0.0141252,0.0381571,0.0863159,0.175917,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.00164784,0.00332087,0.00424916,0.00331671,2.2179E-4,6.71203E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.0218104,0.0958303,0.220475,0.348656,0.411664,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,biomass,electricity,biomass (conv),0.00129245,0.00210251,0.00273253,0.00243665,0.00452142,0.0113359,0.0166782,0.0176037,0.00671565,2.04235E-4,4.67181E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,9.19184E-4,0.00273048,0.00705318,0.013771,0.0186044,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00163173,0.0020199,0.00191434,0.00105616,6.42775E-5,2.13003E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00123321,0.00331067,0.00755948,0.0127331,0.0124428,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,coal,electricity,coal (conv pul),6.61872E-4,0.00468254,0.00715226,0.00432402,0.00921348,0.013986,0.0105207,0.0078009,0.0032856,1.59363E-4,5.00814E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00516314,0.0116478,0.0249447,0.0507849,0.086794,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,gas,electricity,gas (CC),0.0,0.0,6.08874E-5,1.16542E-4,0.00128384,0.00361701,0.00402085,0.0041659,0.00405305,0.00190643,3.67098E-5,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,gas,electricity,gas (steam/CT),0.0,0.0,2.99948E-4,0.00102321,0.00316651,0.00555811,0.00382484,0.00222764,0.00119908,2.44348E-4,3.14936E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,geothermal,electricity,geothermal,0.00117364,0.003611,0.00529585,0.0161348,0.0291351,0.0470852,0.0726966,0.0727358,0.0727396,0.0727262,0.0726677,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,hydro,electricity,hydro,0.0220885,0.0372506,0.0651303,0.0967141,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.00123852,0.0128285,0.0623033,0.151064,0.327298,0.632475,1.27616,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.0550172,0.0969829,0.162949,0.225083,0.350151,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0175565,0.0341174,0.0137175,0.013944,0.0116242,0.00333095,6.6803E-5,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (steam/CT),0.00928238,0.0284468,0.0290989,0.0403091,0.059939,0.0625698,0.0275315,0.0215601,0.0109878,0.0022828,6.9054E-5,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0197976,0.043747,0.0950261,0.190478,0.363814,0.590411,0.739525,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,4.8777E-6,5.66354E-5,7.81143E-4,0.00366465,0.0151754,0.0487451,0.158734,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,solar,electricity,PV,0.0,5.21028E-5,2.40811E-4,6.75735E-4,0.014464635,0.054363035000000004,0.150421935,0.285836935,0.541122935,0.9446632,1.6073903,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,1.21392E-5,8.66473E-5,9.207123000000001E-4,0.0039710123,0.0159145123,0.0513597123,0.17056957309999998,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,wind,electricity,wind,0.0,1.03006E-5,1.08405E-4,0.00327891,0.04013951,0.12079411000000001,0.30339811,0.54639911,0.96732911,1.5823902,2.4925226,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.21101E-4,0.001275711,0.009945471,0.034993870999999996,0.11366217099999999,0.29324006999999996,0.68074546,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,7.83916E-5,5.084236E-4,0.0038808336000000004,0.012876953600000001,0.0403744536,0.1075402536,0.307994862,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00144841,0.00548147,0.013034,0.0272465,0.0516642,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,5.27474E-4,0.00109578,0.00150832,0.00115208,8.43095E-5,3.1974E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00810111,0.0399702,0.0753958,0.107648,0.116014,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,biomass,electricity,biomass (conv),0.0,0.0,0.0,8.38538E-7,0.00203557,0.00419515,0.00627267,0.00679516,0.00245616,8.15505E-5,2.54414E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00235644,0.00739144,0.0151138,0.0249895,0.0292837,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00474951,0.00574979,0.00546641,0.00280013,1.75756E-4,7.58313E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00321714,0.00905894,0.0166819,0.024106,0.0204138,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,coal,electricity,coal (conv pul),0.00796419,0.0458413,0.0391337,0.0616133,0.0848857,0.0963757,0.0722875,0.0441994,0.0149248,7.12019E-4,2.99809E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.215296,0.563766,1.00242,1.56074,2.07753,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Northern,gas,electricity,gas (CC),0.0752962,0.198004,0.300157,0.382972,0.547766,0.714739,0.703118,0.675598,0.593181,0.28205,0.00600903,0.0,0.0,0.0,EJ,
