elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00427327,0.014124,0.0381563,0.0863144,0.175916,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.00164791,0.003321,0.00424907,0.00331669,2.21768E-4,6.71169E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.0218115,0.0958386,0.220489,0.348668,0.411668,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,biomass,electricity,biomass (conv),0.00129245,0.00210251,0.00273253,0.00243665,0.00452142,0.0113363,0.0166789,0.0176045,0.00671593,2.0422E-4,4.67162E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,9.19201E-4,0.00273024,0.00705302,0.0137707,0.0186041,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.0016318,0.00201998,0.00191429,0.00105619,6.42736E-5,2.12997E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00123323,0.00331036,0.00755927,0.0127328,0.0124425,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,coal,electricity,coal (conv pul),6.61872E-4,0.00468254,0.00715226,0.00432402,0.00921348,0.0139862,0.0105209,0.00780053,0.00328569,1.59354E-4,5.00801E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00516324,0.011649,0.0249459,0.0507856,0.0867947,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,gas,electricity,gas (CC),0.0,0.0,6.08874E-5,1.16542E-4,0.00128384,0.00361711,0.00402096,0.0041663,0.00405317,0.00190642,3.67095E-5,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,gas,electricity,gas (steam/CT),0.0,0.0,2.99948E-4,0.00102321,0.00316651,0.00555822,0.00382492,0.00222837,0.0011991,2.44342E-4,3.14932E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,geothermal,electricity,geothermal,0.00117364,0.003611,0.00529585,0.0161348,0.0291351,0.0470858,0.0726966,0.0727358,0.0727396,0.0727261,0.0726677,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,hydro,electricity,hydro,0.0220885,0.0372506,0.0651303,0.0967141,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.00123852,0.012829,0.062305,0.151054,0.327293,0.632466,1.27616,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.0550184,0.0969924,0.162949,0.225084,0.350152,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0175565,0.0341183,0.0137178,0.0139457,0.0116244,0.0033308,6.68016E-5,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (steam/CT),0.00928238,0.0284468,0.0290989,0.0403091,0.059939,0.0625705,0.027532,0.0215642,0.0109877,0.00228278,6.90526E-5,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0197976,0.0437471,0.0950262,0.190473,0.363812,0.59041,0.739523,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,4.8777E-6,5.66379E-5,7.81162E-4,0.00366419,0.0151751,0.0487444,0.158735,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,solar,electricity,PV,0.0,5.21028E-5,2.40811E-4,6.75735E-4,0.014464635,0.054364735,0.15042613500000002,0.28583213500000004,0.541125135,0.9446584,1.6073935000000001,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,1.21392E-5,8.665080000000001E-5,9.207348E-4,0.0039705348,0.0159142348,0.051359034799999995,0.1705708956,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,wind,electricity,wind,0.0,1.03006E-5,1.08405E-4,0.00327891,0.04013951,0.12079701,0.30340401,0.54638601,0.96732701,1.5823801,2.4925225,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.21101E-4,0.001275761,0.009945711,0.034991710999999995,0.11366191099999999,0.29323781,0.6807481499999999,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,7.83916E-5,5.084456E-4,0.0038809456,0.0128756456,0.0403735456,0.1075384456,0.30799605399999996,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00144843,0.00548133,0.0130338,0.0272462,0.0516639,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,5.27494E-4,0.00109581,0.0015083,0.00115208,8.43026E-5,3.19725E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00810142,0.0399764,0.0754024,0.107654,0.116017,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,biomass,electricity,biomass (conv),0.0,0.0,0.0,8.38538E-7,0.00203557,0.00419528,0.00627287,0.00679558,0.00245629,8.15459E-5,2.54407E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00235646,0.00739117,0.0151134,0.024989,0.0292832,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00474968,0.00574998,0.00546637,0.00280024,1.75748E-4,7.58301E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00321716,0.00905856,0.0166814,0.0241054,0.0204133,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,coal,electricity,coal (conv pul),0.00796419,0.0458413,0.0391337,0.0616133,0.0848857,0.0963762,0.0722879,0.0441974,0.0149253,7.1198E-4,2.99802E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.215299,0.563765,1.00241,1.56073,2.07752,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,gas,electricity,gas (CC),0.0752962,0.198004,0.300157,0.382972,0.547766,0.714746,0.703126,0.675605,0.593188,0.282045,0.00600892,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,gas,electricity,gas (steam/CT),0.0604983,0.284393,0.386424,0.494542,0.572436,0.633603,0.487829,0.352371,0.184693,0.0287179,3.50831E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00833986,0.0185432,0.0402986,0.0660416,0.0719913,0.0719811,0.071938,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,hydro,electricity,hydro,0.0408229,0.0516283,0.0603252,0.0564102,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,9.47742E-4,0.00604685,0.0270248,0.0717178,0.134421,0.236763,0.442278,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,refined liquids,electricity,refined liquids (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.120612,0.235803,0.35536,0.552641,0.790492,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0499642,0.0742438,0.0352923,0.0357689,0.026591,0.007569,1.73697E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,refined liquids,electricity,refined liquids (steam/CT),0.117711,0.127327,0.157278,0.214315,0.162362,0.156077,0.0933282,0.0674332,0.0390721,0.0105977,3.58293E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0314523,0.136251,0.320157,0.444645,0.596367,0.788935,0.973591,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,solar,electricity,CSP,0.0,0.0,0.0,1.44014E-5,1.44014E-5,1.44014E-5,1.44014E-5,1.44014E-5,1.44014E-5,0.0,0.0,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,3.07713E-6,1.51437E-5,1.8528E-4,0.00107361,0.00392627,0.0128675,0.0435482,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,solar,electricity,PV,0.0,7.19925E-6,7.67546E-4,0.00108061,0.013558009999999999,0.045164010000000004,0.11767981000000001,0.23261081,0.37112781,0.5484302000000001,0.7792188,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,8.21867E-6,2.688417E-5,2.3810917E-4,0.00125376917,0.00446232917,0.014728929170000002,0.0510314105,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,wind,electricity,wind,0.0,0.0028798,0.00826522,0.0181619,0.0429891,0.0764166,0.174978,0.33886,0.541892,0.7969461,1.1624919,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,2.00765E-4,0.0012121950000000001,0.009624105,0.040419305,0.109172305,0.24690654,0.50240711,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,8.29705E-5,2.558375E-4,0.0010902455,0.0033060755,0.0077117055,0.0178593055,0.048136635,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,4.19487E-5,5.49178E-4,0.00191146,0.00513078,0.01261,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,7.67167E-5,9.16806E-5,1.45654E-4,1.68816E-4,3.77282E-5,1.26645E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,2.24714E-4,0.00392817,0.0110178,0.0200277,0.0289208,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,biomass,electricity,biomass (conv),0.0,0.0,4.03208E-4,5.6803E-4,5.16334E-4,8.91244E-4,9.35673E-4,0.00101512,6.81974E-4,4.3947E-5,1.11742E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,3.43576E-4,0.00401233,0.0138794,0.0317016,0.0537941,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00242757,0.00258094,0.00311416,0.00298944,5.01174E-4,1.79836E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,5.0356E-4,0.00495523,0.0151653,0.0299072,0.0422297,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,coal,electricity,coal (conv pul),0.0213304,0.0204675,0.0126981,0.0266776,0.0295237,0.0362134,0.029891,0.0210197,0.0125969,0.00136957,4.52602E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00213437,0.0186459,0.0527614,0.115088,0.215814,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,gas,electricity,gas (CC),0.0,7.82675E-4,0.0,0.00985276,0.0105333,0.0157289,0.0150365,0.0153277,0.0152649,0.011878,6.45921E-4,0.0,0.0,0.0,EJ,
