elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00427346,0.0141214,0.0381549,0.0863117,0.175913,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.00164813,0.00332131,0.00424907,0.00331671,2.21741E-4,6.71096E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.021814,0.0958522,0.220519,0.348689,0.411674,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,biomass,electricity,biomass (conv),0.00129245,0.00210251,0.00273253,0.00243665,0.00452142,0.0113374,0.0166807,0.0176072,0.00671662,2.04206E-4,4.6713E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,9.1923E-4,0.00272967,0.00705273,0.0137702,0.0186037,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00163201,0.00202021,0.00191429,0.00105626,6.42715E-5,2.12986E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00123327,0.00330966,0.00755886,0.0127322,0.012442,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,coal,electricity,coal (conv pul),6.61872E-4,0.00468254,0.00715226,0.00432402,0.00921348,0.0139868,0.0105216,0.00780022,0.00328588,1.5935E-4,5.00777E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00516341,0.0116511,0.0249482,0.0507871,0.0867961,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,gas,electricity,gas (CC),0.0,0.0,6.08874E-5,1.16542E-4,0.00128384,0.00361739,0.00402126,0.00416719,0.00405347,0.0019065,3.67093E-5,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,gas,electricity,gas (steam/CT),0.0,0.0,2.99948E-4,0.00102321,0.00316651,0.00555852,0.00382514,0.00222992,0.00119912,2.44342E-4,3.14925E-6,0.0,0.0,0.0,EJ,
