elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.00164782,0.00587944,0.0138409,0.0285226,0.0522755,0.0865847,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,biomass,electricity,biomass (conv),0.00129245,0.00210251,0.00273253,0.00243665,0.00452175,0.0113363,0.027886,0.0565978,0.102555,0.167965,0.252938,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00163152,0.00488327,0.00999037,0.0184007,0.03112,0.0487414,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,coal,electricity,coal (conv pul),6.61872E-4,0.00468254,0.00715226,0.00432402,0.00921326,0.0139847,0.0226185,0.0350956,0.0544417,0.0822048,0.119177,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,gas,electricity,gas (CC),0.0,0.0,6.08874E-5,1.16542E-4,0.00128381,0.00361689,0.00958088,0.0197362,0.0388118,0.0707976,0.117333,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,gas,electricity,gas (steam/CT),0.0,0.0,2.99948E-4,0.00102321,0.00316646,0.00555795,0.00896111,0.0117714,0.0148058,0.017869,0.0204887,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,geothermal,electricity,geothermal,0.00117364,0.003611,0.00529585,0.0161348,0.0291348,0.0470847,0.072316,0.0727388,0.0727518,0.0727621,0.0727343,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,hydro,electricity,hydro,0.0220885,0.0372506,0.0651303,0.0967141,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.00123848,0.0128282,0.049684,0.122156,0.241572,0.418603,0.655894,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0175558,0.0341149,0.0580727,0.0965121,0.1612,0.228793,0.313349,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (steam/CT),0.00928238,0.0284468,0.0290989,0.0403091,0.0599375,0.0625658,0.0594615,0.0624573,0.0668365,0.0647899,0.0663813,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0197974,0.0437467,0.0908159,0.185739,0.338027,0.553452,0.827754,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,4.87753E-6,5.66349E-5,5.33476E-4,0.00271417,0.00976916,0.0265201,0.0579116,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,solar,electricity,PV,0.0,5.21028E-5,2.40811E-4,6.75735E-4,0.014464235,0.054361534999999996,0.136584135,0.256926135,0.45049613499999996,0.7313073999999999,1.0871049,0.0,0.0,0.0,EJ,
