elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00423097,0.014106,0.0382752,0.0866524,0.176087,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.00164835,0.00337363,0.00433428,0.00337483,2.21088E-4,6.76004E-7,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.021082,0.0939418,0.217362,0.344386,0.401163,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,biomass,electricity,biomass (conv),0.00129245,0.00210251,0.00273253,0.00243665,0.00452142,0.0113385,0.0168739,0.0178867,0.00679151,2.02616E-4,4.64287E-7,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,8.97368E-4,0.00267741,0.00692663,0.0134726,0.0177303,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00163223,0.00202991,0.00192073,0.00104106,6.18935E-5,2.09722E-7,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00119098,0.00320994,0.00732963,0.0122806,0.0114623,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,coal,electricity,coal (conv pul),6.61872E-4,0.00468254,0.00715226,0.00432402,0.00921348,0.0139875,0.0105243,0.00776797,0.00319942,1.51375E-4,4.83462E-7,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00511076,0.0115296,0.0246786,0.050071,0.0849915,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,gas,electricity,gas (CC),0.0,0.0,6.08874E-5,1.16542E-4,0.00128384,0.00361771,0.00402937,0.00417316,0.00404224,0.00186392,3.551E-5,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,gas,electricity,gas (steam/CT),0.0,0.0,2.99948E-4,0.00102321,0.00316651,0.0055589,0.00382666,0.0022183,0.00118109,2.36015E-4,3.0416E-6,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,geothermal,electricity,geothermal,0.00117364,0.003611,0.00529585,0.0161348,0.0291351,0.0470891,0.0726966,0.0727357,0.0727394,0.0727257,0.0726669,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,hydro,electricity,hydro,0.0220885,0.0372506,0.0651303,0.0967141,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.00123852,0.0128319,0.0624266,0.151537,0.3287,0.63567,1.28743,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.0546423,0.0963104,0.161902,0.223602,0.343637,0.0,0.0,0.0,EJ,
