elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00423077,0.0141068,0.0382727,0.0866513,0.176085,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.00164792,0.00337303,0.00433372,0.00337456,2.21122E-4,6.76046E-7,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.0210785,0.0939412,0.21736,0.344395,0.401177,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,biomass,electricity,biomass (conv),0.00129245,0.00210251,0.00273253,0.00243665,0.00452142,0.0113363,0.0168703,0.0178832,0.00679108,2.02641E-4,4.64282E-7,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,8.97354E-4,0.00267762,0.00692624,0.0134724,0.0177302,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00163182,0.00202947,0.00192036,0.00104088,6.18978E-5,2.09721E-7,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00119096,0.00321018,0.00732927,0.0122804,0.0114623,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,coal,electricity,coal (conv pul),6.61872E-4,0.00468254,0.00715226,0.00432402,0.00921347,0.0139863,0.010523,0.00776692,0.003199,1.51387E-4,4.83464E-7,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00511061,0.0115302,0.0246776,0.050071,0.0849918,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,gas,electricity,gas (CC),0.0,0.0,6.08874E-5,1.16542E-4,0.00128384,0.00361717,0.0040288,0.00417267,0.00404177,0.00186391,3.55101E-5,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,gas,electricity,gas (steam/CT),0.0,0.0,2.99948E-4,0.00102321,0.00316651,0.00555831,0.00382624,0.00221808,0.00118097,2.36024E-4,3.04159E-6,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,geothermal,electricity,geothermal,0.00117364,0.003611,0.00529585,0.0161348,0.0291351,0.0470858,0.0726966,0.0727357,0.0727394,0.0727257,0.0726669,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,hydro,electricity,hydro,0.0220885,0.0372506,0.0651303,0.0967141,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.00123852,0.012829,0.0624208,0.151541,0.32868,0.635656,1.2874,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.0546395,0.0963157,0.161894,0.223607,0.343637,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0175565,0.0341186,0.0137876,0.0140146,0.0116268,0.00329922,6.64729E-5,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,refined liquids,electricity,refined liquids (steam/CT),0.00928238,0.0284468,0.0290989,0.0403091,0.059939,0.0625709,0.0275583,0.0215741,0.0109327,0.00224896,6.71273E-5,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0197976,0.043747,0.0950549,0.190758,0.364246,0.590273,0.737729,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,4.8777E-6,5.66379E-5,7.84117E-4,0.00368702,0.0152863,0.0491424,0.16085,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,solar,electricity,PV,0.0,5.21028E-5,2.40811E-4,6.75735E-4,0.014464635,0.054364935,0.15045713500000002,0.285945135,0.541611135,0.9459844,1.6135345,0.0,0.0,0.0,EJ,
