elec gen by gen tech and cooling tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0197976,0.043747,0.0950261,0.190478,0.363814,0.590411,0.739525,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,1.25921E-4,1.25921E-4,4.6936199999999997E-4,0.0031066369999999998,0.010184563,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,2.31293E-6,2.3129E-6,3.30171E-6,9.6275925E-5,0.001031678592,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00395158,0.01343875,0.03576955,0.07928790999999999,0.15769333000000002,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,1.9335E-4,5.58241E-4,0.0019148210000000001,0.0038250330000000003,0.007007808,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,1.31258E-4,2.64694E-4,3.3846580000000003E-4,2.491349E-4,1.5775299999999998E-5,5.0472458E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (once through),0.0,0.0,0.0,0.0,0.0,5.20774E-5,9.576140000000001E-5,1.1382349999999999E-4,7.24288E-5,5.944868E-6,2.6668528E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0014086,0.0028473300000000003,0.0036517870000000005,0.002880617,1.924498E-4,5.7160592E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (seawater),0.0,0.0,0.0,0.0,0.0,5.58994E-5,1.1308720000000001E-4,1.450782E-4,1.145289E-4,7.619584E-6,2.2456168999999997E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,0.00261007,0.027283369999999998,0.035523429999999995,0.059181170000000005,0.07297166,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,1.07963E-4,1.07961E-4,1.587305E-4,0.0021503668,0.0079200985,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00824335,0.03291665,0.07563054,0.12282814,0.14477545,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,0.010849,0.0355223,0.10916229999999999,0.1644958,0.18599687,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (dry cooling),1.55106E-4,2.52314E-4,3.27915E-4,2.92386E-4,4.26314E-4,0.001004156,0.001444824,0.0014875350000000001,4.993872E-4,1.4520223E-5,3.2259877E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (once through),1.08604E-4,1.7661E-4,2.29511E-4,2.0463E-4,2.262336E-4,4.518759E-4,5.860991999999999E-4,5.344309E-4,1.5579113E-4,5.9051766999999996E-6,1.6401147E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (recirculating),9.82236E-4,0.00159789,0.0020767,0.00185188,0.003715811,0.00949451,0.014078842,0.014978468000000002,0.0058256501,1.7673237999999997E-4,4.023475499999999E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (seawater),4.65017E-5,7.57041E-5,9.84046E-5,8.77557E-5,1.53058E-4,3.853472E-4,5.684429E-4,6.032702E-4,2.3481552000000002E-4,7.077018099999999E-6,1.5982021E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,5.74679E-5,1.715656E-4,4.515577E-4,9.480679E-4,0.0013709630999999998,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,6.11456E-6,1.58299E-5,3.757927E-5,9.440243E-5,2.0267105000000002E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,8.21111E-4,0.002440313,0.006298774,0.012220005999999999,0.016360366,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,3.44902E-5,1.0277450000000001E-4,2.6526640000000003E-4,5.085106E-4,6.703639E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,8.3406E-5,1.1807939999999999E-4,1.147599E-4,6.163569E-5,3.718856E-6,1.2544276E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (once through),0.0,0.0,0.0,0.0,0.0,1.186E-5,2.674464E-5,2.7030689999999998E-5,1.515378E-5,1.204619E-6,5.429775999999999E-9,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (recirculating),0.0,0.0,0.0,0.0,0.0,0.00147378,0.001799823,0.0017019140000000001,9.405389999999999E-4,5.701906000000001E-5,1.8726832999999999E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (seawater),0.0,0.0,0.0,0.0,0.0,6.26859E-5,7.524849999999999E-5,7.06418E-5,3.883E-5,2.3349900000000002E-6,7.584867999999999E-9,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (conv pul CCS),coal (conv pul CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,2.26672E-4,6.127109999999999E-4,0.0014217,0.002501606,0.0024640870000000002,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (conv pul CCS),coal (conv pul CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,4.33951E-5,1.024786E-4,2.157616E-4,4.325823E-4,5.547738300000001E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (conv pul CCS),coal (conv pul CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,4.52738E-4,0.00121661,0.002773282,0.004619706,0.004470997,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (conv pul CCS),coal (conv pul CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,5.10404E-4,0.00137887,0.0031487349999999997,0.0051791879999999995,0.004952908,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (conv pul),coal (conv pul) (dry cooling),7.94086E-5,5.61929E-4,8.58231E-4,5.18838E-4,7.7335E-4,0.001033516,6.557117E-4,4.4644789999999997E-4,1.7192383E-4,7.948071E-6,2.4590972E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (conv pul),coal (conv pul) (once through),5.5606E-5,3.9332E-4,6.00822E-4,3.63237E-4,3.910011E-4,4.090563E-4,1.332836E-4,7.64161E-5,2.8612989999999998E-5,1.7047118E-6,6.808531E-9,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (conv pul),coal (conv pul) (recirculating),5.03055E-4,0.00355868,0.0054357,0.00328624,0.00770213,0.01200623,0.009321368000000002,0.0069720469999999994,0.0029552655,1.4344973E-4,4.49846797E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,coal,elec_coal (conv pul),coal (conv pul) (seawater),2.38026E-5,1.68609E-4,2.57509E-4,1.55702E-4,3.46991E-4,5.371740000000001E-4,4.103228E-4,3.0599038E-4,1.2979518E-4,6.260276700000001E-6,1.9376997E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (CC CCS),gas (CC CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,3.93542E-4,8.98321E-4,0.001940808,0.003971852,0.006879354,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (CC CCS),gas (CC CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,2.36157E-4,5.25588E-4,0.0010994169999999999,0.002167272,0.003678299,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (CC CCS),gas (CC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00435865,0.00983007,0.02106071,0.042924569999999995,0.07330308,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (CC CCS),gas (CC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,1.74787E-4,3.93818E-4,8.437729999999999E-4,0.001721238,0.002933326,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (CC),gas (CC) (dry cooling),0.0,0.0,7.29849E-6,1.40051E-5,9.55647E-5,2.6442459999999996E-4,2.9456367E-4,3.0298221E-4,2.9077811E-4,1.2435908E-4,2.1813895E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (CC),gas (CC) (once through),0.0,0.0,5.09894E-6,9.80354E-6,7.091624E-5,1.8634134E-4,2.0512440000000002E-4,2.0817956E-4,1.9743575999999998E-4,8.640442499999999E-5,1.7413452400000002E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (CC),gas (CC) (recirculating),0.0,0.0,4.62904E-5,8.8532E-5,0.0010738761000000001,0.0030441332999999998,0.0033857137,0.0035144373,0.0034282659000000005,0.0016306970300000003,3.15325744E-5,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (CC),gas (CC) (seawater),0.0,0.0,2.19954E-6,4.20152E-6,4.348667E-5,1.2211534E-4,1.3545825E-4,1.4030365E-4,1.3657075999999997E-4,6.4970243E-5,1.2544828499999999E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (steam/CT),gas (steam/CT) (dry cooling),0.0,0.0,3.60058E-5,1.22785E-4,2.86615E-4,4.7597510000000004E-4,3.049302E-4,1.6649487E-4,8.597223E-5,1.660089E-5,2.04615549E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (steam/CT),gas (steam/CT) (once through),0.0,0.0,2.5204E-5,8.59597E-5,1.536194E-4,2.160517E-4,1.121271E-4,5.56028E-5,2.8314674000000004E-5,5.845917E-6,9.0903138E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (steam/CT),gas (steam/CT) (recirculating),0.0,0.0,2.27937E-4,7.7764E-4,0.002616738,0.004674479,0.003273639,0.001926661,0.001042239,2.1322183E-4,2.7429506E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,gas,elec_gas (steam/CT),gas (steam/CT) (seawater),0.0,0.0,1.08017E-5,3.68256E-5,1.095358E-4,1.916003E-4,1.341506E-4,7.888213E-5,4.255713E-5,8.679102000000002E-6,1.1089015200000002E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,geothermal,elec_geothermal,geothermal (dry_hybrid),4.69417E-4,0.00144438,0.0021183,0.00645395,0.00983237,0.014942130000000001,0.022636490000000002,0.021892540000000002,0.0218196,0.022075869999999997,0.023185305,0.0,0.0,0.0,EJ,
"NZ_CCS_65_NEW,date=2025-17-4T12:50:36-06:00",Africa_Eastern,electricity,geothermal,elec_geothermal,geothermal (recirculating),7.04225E-4,0.00216662,0.00317755,0.00968083,0.01930278,0.032143050000000006,0.050060179999999996,0.050843150000000004,0.05092004,0.05065035,0.049482410000000004,0.0,0.0,0.0,EJ,
