elec gen by gen tech and cooling tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,elect_td_bld,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0197976,0.0437475,0.0950263,0.190458,0.363805,0.590406,0.739516,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,1.25881E-4,1.25881E-4,4.69052E-4,0.003106327,0.010184473,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,2.30945E-6,2.30942E-6,3.2960329999999997E-6,9.6269963E-5,0.001031722611,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00395198,0.013433420000000001,0.035766820000000005,0.07928247,0.15768797,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,1.9339E-4,5.58061E-4,0.0019151609999999999,0.003825241,0.00700799,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,1.31295E-4,2.64746E-4,3.384637E-4,2.491363E-4,1.57705E-5,5.0462025999999994E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (once through),0.0,0.0,0.0,0.0,0.0,5.20883E-5,9.57683E-5,1.138088E-4,7.24192E-5,5.942704E-6,2.666238E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (recirculating),0.0,0.0,0.0,0.0,0.0,0.00140901,0.00284791,0.003651837,0.002880677,1.9239240000000003E-4,5.7147683E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (seawater),0.0,0.0,0.0,0.0,0.0,5.59157E-5,1.131105E-4,1.450803E-4,1.1453169999999999E-4,7.617339E-6,2.2451107E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,0.00260992,0.02729032,0.03552604,0.05918179,0.07296607,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,1.07829E-4,1.07827E-4,1.584895E-4,0.0021499785,0.007919277700000001,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00824519,0.032925590000000005,0.07564439,0.12283598,0.14477273,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,0.0108529,0.035533300000000004,0.1092063,0.1645322,0.18601872,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (dry cooling),1.55106E-4,2.52314E-4,3.27915E-4,2.92386E-4,4.26314E-4,0.001004368,0.001445166,0.001488063,4.99492E-4,1.4517358999999999E-5,3.2255173E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (once through),1.08604E-4,1.7661E-4,2.29511E-4,2.0463E-4,2.262336E-4,4.519512E-4,5.861903E-4,5.345893E-4,1.5580215E-4,5.903462600000001E-6,1.639737E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (recirculating),9.82236E-4,0.00159789,0.0020767,0.00185188,0.003715811,0.00949659,0.014082200000000001,0.014983231,0.0058269376,1.7670101E-4,4.0229173E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (seawater),4.65017E-5,7.57041E-5,9.84046E-5,8.77557E-5,1.53058E-4,3.854314E-4,5.685794E-4,6.034661E-4,2.3486838E-4,7.0757980000000005E-6,1.5979898000000002E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,5.74721E-5,1.7149990000000001E-4,4.51527E-4,9.480081E-4,0.0013709159000000002,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,6.11343E-6,1.582285E-5,3.75712E-5,9.438558E-5,2.0265398E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,8.21164E-4,0.002439256,0.006298237,0.012219088,0.016359574,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,3.44926E-5,1.0272949999999999E-4,2.652444E-4,5.084726E-4,6.703303E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,8.34296E-5,1.1810680000000001E-4,1.147549E-4,6.164247E-5,3.718233E-6,1.2542481999999999E-8,0.0,0.0,0.0,EJ,
