elec gen by gen tech and cooling tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0197976,0.0437471,0.0950262,0.190473,0.363812,0.59041,0.739523,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,1.25916E-4,1.25916E-4,4.69299E-4,0.003106544,0.01018453,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,2.31239E-6,2.31236E-6,3.3007179999999997E-6,9.6271634E-5,0.001031693849,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00395168,0.01343761,0.03576881,0.07928657,0.15769206000000002,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,1.93358E-4,5.58201E-4,0.0019148810000000002,0.003825063,0.007007827,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,1.31264E-4,2.64704E-4,3.3845800000000003E-4,2.491332E-4,1.5773749999999998E-5,5.047022E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (once through),0.0,0.0,0.0,0.0,0.0,5.20791E-5,9.57628E-5,1.138185E-4,7.24267E-5,5.944229E-6,2.6667324E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (recirculating),0.0,0.0,0.0,0.0,0.0,0.00140867,0.00284744,0.00365172,0.0028806,1.924314E-4,5.7157643E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (seawater),0.0,0.0,0.0,0.0,0.0,5.59019E-5,1.130915E-4,1.450756E-4,1.1452829999999999E-4,7.618846E-6,2.2455E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,0.00261008,0.02728578,0.0355249,0.059182330000000005,0.07297105,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,1.07942E-4,1.07941E-4,1.586876E-4,0.0021502551000000003,0.0079199218,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00824371,0.032919409999999996,0.07563410000000001,0.12283079999999999,0.14477541,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,0.0108497,0.0355254,0.1091717,0.1645042,0.18600181,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (dry cooling),1.55106E-4,2.52314E-4,3.27915E-4,2.92386E-4,4.26314E-4,0.001004189,0.001444884,0.0014876159999999998,4.994087E-4,1.4519117000000001E-5,3.225858E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (once through),1.08604E-4,1.7661E-4,2.29511E-4,2.0463E-4,2.262336E-4,4.5188790000000003E-4,5.86115E-4,5.344546E-4,1.5579401E-4,5.9046239E-6,1.6400286E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (recirculating),9.82236E-4,0.00159789,0.0020767,0.00185188,0.003715811,0.00949483,0.014079428,0.014979182999999998,0.0058259027,1.7671984000000002E-4,4.0233097E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (seawater),4.65017E-5,7.57041E-5,9.84046E-5,8.77557E-5,1.53058E-4,3.853609E-4,5.684681E-4,6.032986E-4,2.3482579999999998E-4,7.0765241000000005E-6,1.5981377999999997E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,5.74691E-5,1.7155179999999999E-4,4.5154890000000006E-4,9.480511E-4,0.0013709497,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,6.11441E-6,1.582869E-5,3.757767E-5,9.439902999999999E-5,2.0266843000000002E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,8.21126E-4,0.002440088,0.00629864,0.012219741,0.016360147999999998,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,3.44909E-5,1.02765E-4,2.652599E-4,5.085000000000001E-4,6.703550999999999E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,8.34097E-5,1.180842E-4,1.1475480000000001E-4,6.163701000000001E-5,3.718591E-6,1.2543846E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (once through),0.0,0.0,0.0,0.0,0.0,1.18603E-5,2.674494E-5,2.702803E-5,1.51537E-5,1.204509E-6,5.429512E-9,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (recirculating),0.0,0.0,0.0,0.0,0.0,0.00147384,0.0017998970000000002,0.001701863,9.40564E-4,5.7015689999999996E-5,1.8726289E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (seawater),0.0,0.0,0.0,0.0,0.0,6.26886E-5,7.525150000000001E-5,7.06401E-5,3.883111E-5,2.33485E-6,7.584666E-9,0.0,0.0,0.0,EJ,
