elec gen by gen tech and cooling tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0197974,0.0437467,0.0908159,0.185739,0.338027,0.553452,0.827754,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,1.31256E-4,4.6414899999999996E-4,0.00108728,0.002239933,0.004110432,0.006817495,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (once through),0.0,0.0,0.0,0.0,0.0,5.20762E-5,1.655839E-4,3.4710100000000005E-4,6.443826E-4,0.0010904094,0.0016736001000000002,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (recirculating),0.0,0.0,0.0,0.0,0.0,0.00140859,0.0050488500000000006,0.01193081,0.02465364,0.04526501,0.07508888,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (seawater),0.0,0.0,0.0,0.0,0.0,5.58988E-5,2.008548E-4,4.75741E-4,9.846624E-4,0.0018096811,0.0030046857,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (dry cooling),1.55106E-4,2.52314E-4,3.27915E-4,2.92386E-4,4.26346E-4,0.001004189,0.0023844499999999998,0.0047718,0.008598894,0.0140524496,0.0211463478,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (once through),1.08604E-4,1.7661E-4,2.29511E-4,2.0463E-4,2.262502E-4,4.518905E-4,9.513060000000001E-4,0.0016864798000000001,0.0027128573,0.0040498598,0.0055810116,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (recirculating),9.82236E-4,0.00159789,0.0020767,0.00185188,0.0037160839999999997,0.00949483,0.02360027,0.048200815999999994,0.087712761,0.144056181,0.21743368400000002,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (seawater),4.65017E-5,7.57041E-5,9.84046E-5,8.77557E-5,1.5306990000000002E-4,3.853607E-4,9.500071E-4,0.0019387473,0.0035309541000000002,0.0058061017999999995,0.0087770652,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,8.34076E-5,2.497935E-4,5.095925E-4,9.336483E-4,0.0015704749,0.0024467035000000003,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (once through),0.0,0.0,0.0,0.0,0.0,1.18636E-5,3.11357E-5,5.4094099999999994E-5,8.31125E-5,1.199277E-4,1.6214259999999998E-4,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (recirculating),0.0,0.0,0.0,0.0,0.0,0.00147357,0.00441412,0.00903978,0.01666734,0.02821175,0.04421642,0.0,0.0,0.0,EJ,
