elec gen by gen tech and cooling tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0197976,0.043747,0.0950549,0.190758,0.364246,0.590273,0.737729,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,1.32672E-4,1.32672E-4,5.10191E-4,0.003188649,0.010302678,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,2.72408E-6,2.72404E-6,3.94637E-6,1.0166045E-4,0.00107425148,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00390676,0.013417059999999998,0.035873459999999996,0.07956278,0.15774076,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC CCS),biomass (IGCC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,1.88613E-4,5.543939999999999E-4,0.001885084,0.0037982399999999996,0.006966897,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,1.31264E-4,2.68882E-4,3.452742E-4,2.5344729999999995E-4,1.572771E-5,5.1026134E-8,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (once through),0.0,0.0,0.0,0.0,0.0,5.20792E-5,9.72073E-5,1.160188E-4,7.36166E-5,5.933536E-6,2.7077808E-8,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (recirculating),0.0,0.0,0.0,0.0,0.0,0.00140867,0.00289207,0.003724459,0.002930964,1.918649E-4,5.7534447E-7,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (IGCC),biomass (IGCC) (seawater),0.0,0.0,0.0,0.0,0.0,5.59022E-5,1.148655E-4,1.479668E-4,1.1653180000000001E-4,7.5962790000000005E-6,2.2597713E-8,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,0.00264207,0.02692967,0.035745849999999996,0.05935243999999999,0.07169595000000001,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,1.22651E-4,1.22649E-4,1.845921E-4,0.0022386269,0.0079636504,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00797639,0.03226399,0.07511148,0.12184838,0.14155623,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv CCS),biomass (conv CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,0.0103374,0.034625,0.106318,0.16095589999999999,0.17996080999999997,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (dry cooling),1.55106E-4,2.52314E-4,3.27915E-4,2.92386E-4,4.26313E-4,0.001004193,0.0014612919999999999,0.0015113949999999998,5.048726E-4,1.4404205E-5,3.2118903E-8,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (once through),1.08604E-4,1.7661E-4,2.29511E-4,2.0463E-4,2.262336E-4,4.5188909999999995E-4,5.924843E-4,5.427461E-4,1.5736257E-4,5.859147E-6,1.6352833999999998E-8,0.0,0.0,0.0,EJ,
"NZ_RE_0.1,date=2025-1-4T10:11:43-06:00",Africa_Eastern,electricity,biomass,elec_biomass (conv),biomass (conv) (recirculating),9.82236E-4,0.00159789,0.0020767,0.00185188,0.00371581,0.009494869999999999,0.014241554,0.015216282999999997,0.0058913814,1.7535554000000001E-4,3.997492E-7,0.0,0.0,0.0,EJ,
