LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Africa_Eastern,All LandLeaf,3.8019783257509667,6.03217348086122,7.884468152380437,48.51563992403401,45.42354343657477,45.42044313224851,19.5969932725899,103.4021075914684,33.46060907424752,49.35420070139355,52.267305727777355,72.81410106309039,36.89302495167812,24.748396856985742,6.167078453940331,-30.741081538814896,-21.6697246139197,-14.930519262516151,-10.177343014701771,-6.895809889225316,-4.6572171435514,-3.1406835732240315,-2.1172106948768907,-1.4277212756393654,-0.9634574629184889,MtC/yr,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Africa_Northern,All LandLeaf,-9.253902708086297,-7.136528881301796,-6.630629234469943,0.09317136885625654,3.9911776144641076,4.760507815783126,3.6838058182218725,12.475398750292841,1.9140486326258945,1.6422369929577427,1.899889921716295,3.9682901701806252,1.9954719300132475,1.126609572163695,0.020837251428256577,-0.9205965933744998,-0.6847540694180575,-0.523696235563898,-0.39941631096673397,-0.30167410360807645,-0.22583687250985274,-0.1679460411737759,-0.12431772720658389,-0.09173602894694512,-0.06755525633902651,MtC/yr,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Africa_Southern,All LandLeaf,2.2457005063064055,11.983005651012203,19.456763477313654,26.460759368270903,27.362172731814166,27.646763259693177,77.55236183585075,137.17503427386944,41.09612414180192,57.98680652538936,58.535659974110985,77.28721233391812,54.387698086342574,47.61264308683105,31.73035780927992,-16.974375009301994,-13.6718988408696,-9.85516158293779,-6.778113193443602,-4.555116225450776,-3.023643321357851,-1.993406685045601,-1.3092083476726843,-0.8580721595070594,-0.5618038533170685,MtC/yr,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Africa_Western,All LandLeaf,56.63476411912628,67.13364441397297,75.32346281153686,152.13983298987623,151.2612663225826,149.74277256972596,133.52903585676066,192.89154024656284,128.19667311896345,191.69487490325184,231.2979976591622,268.72036237301313,188.5382757478556,155.51679568797294,120.81937740770516,-32.2522188968144,-28.16482578638621,-21.45540443224346,-15.524760433692657,-10.96659937058511,-7.650095709015882,-5.299343677892376,-3.6561584274707,-2.516551860934681,-1.7298099818044936,MtC/yr,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Argentina,All LandLeaf,3.8163377408196935,-0.1131618629117946,-2.387570550386697,28.672664000128695,20.808420344459154,18.400876830110104,50.467613522582944,62.09851433960023,19.10801457938079,16.770956972442516,16.380277984242536,20.11561327555343,9.74507890801028,8.548768937025642,1.4560846535544403,0.2517510990016792,0.07050437069709026,-0.009614132262205288,-0.03945551092636643,-0.044472083303823545,-0.03925161776988117,-0.0311268913618321,-0.02327715262388084,-0.01679426817110228,-0.011838454586143096,MtC/yr,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Australia_NZ,All LandLeaf,1.9912443938842241,6.821597138288619,10.432036752582087,17.248681038987375,8.832927092564201,4.83095916566036,-8.495135056206173,20.74417017272708,-14.405757654346019,4.384520973446722,10.977010139161523,23.793344837126302,9.152859571337801,5.836795101894766,-2.9329124215121576,-8.128505121124999,-6.311980670386326,-4.764423411374555,-3.565072900423633,-2.6582614982527417,-1.9779752095976555,-1.4694047418982514,-1.0900954986911944,-0.8077544738296109,-0.597959302433764,MtC/yr,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Brazil,All LandLeaf,205.5155564622347,207.62359812213617,211.29093266617946,143.97940750235313,157.47560855292554,166.48849957414637,179.9203984429204,274.93410519498303,70.45219171335472,110.97676802648907,132.38010891863644,183.49818247076962,88.73212238116425,65.19852959684212,-5.328805563576081,-13.060961238978678,-8.927392308933895,-5.539215508466351,-3.351692907606087,-2.027981699337119,-1.2391859387658741,-0.7674479416745867,-0.48207333335442215,-0.3069296409352075,-0.1978130447870413,MtC/yr,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Canada,All LandLeaf,73.33545412272062,70.23233574839664,68.36810191469174,41.08488630314163,35.346283511878184,31.533025713347406,-61.39303541356151,-10.457394855242063,-2.744000271135381,101.06444122360733,167.9593789868259,327.7539106829586,136.20266759625213,89.10632622105075,43.02125016246326,20.645985419237046,11.833884105434608,6.58537530103671,3.5172487861122663,1.7586660451723894,0.7759535993271435,0.24673131622100528,-0.021762395007868213,-0.1437908743161675,-0.18629681204325418,MtC/yr,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Central America and Caribbean,All LandLeaf,28.14182447207181,27.840722200943414,27.984849627601424,17.854545023635417,17.845655861501776,17.948906981827093,8.417596600083472,4.11485118469662,5.687491401820235,10.652734978823192,11.861775327726134,20.05693929057949,11.275396233517402,7.80483581283221,3.234497766284393,-1.3922209417577522,-1.1266491633582638,-0.8334987451980634,-0.5986497189546779,-0.42372134911555326,-0.29717022466727594,-0.20709448377860584,-0.1436666880652373,-0.09933895976307204,-0.0685275683783635,MtC/yr,
"NZ_RE_0.5,date=2025-1-4T11:00:08-06:00",Central Asia,All LandLeaf,31.98745079075473,22.94893916387614,14.853604747335476,9.022062942944897,-2.487610164416593,-8.842128256085799,89.93174766910735,-10.670924287095875,-30.313467887603874,-15.180407157875111,-8.734580062545207,-1.2480831204256004,-2.6635484790489734,-1.5770605967762916,-3.09814183047012,-2.4523942082720573,-1.7664462059299402,-1.3325341459464521,-1.0158508132710131,-0.7728046091882248,-0.5851861030769732,-0.44117532847245994,-0.3314142133765887,-0.24825649861591603,-0.1855535188894891,MtC/yr,
